"Rx Errors",
Date,"cv_udp-1.2-1.wlan000--1.0.0-A/Errors",Date,"cv_udp-1.2-1.wlan000--1.0.0-B/Errors",Date,"cv_tcp-1.2-1.wlan000--1.0.0-A/Errors",Date,"cv_tcp-1.2-1.wlan000--1.0.0-B/Errors",
"2021-06-15T07:38:03.539 UTC",0,"2021-06-15T07:38:03.539 UTC",0,NA,NA,NA,NA,
"2021-06-15T07:38:04.551 UTC",0,"2021-06-15T07:38:04.551 UTC",136,NA,NA,NA,NA,
"2021-06-15T07:38:05.562 UTC",0,"2021-06-15T07:38:05.562 UTC",72,NA,NA,NA,NA,
"2021-06-15T07:38:06.572 UTC",0,"2021-06-15T07:38:06.572 UTC",145,NA,NA,NA,NA,
"2021-06-15T07:38:07.583 UTC",0,"2021-06-15T07:38:07.583 UTC",250,NA,NA,NA,NA,
"2021-06-15T07:38:08.594 UTC",0,"2021-06-15T07:38:08.594 UTC",329,NA,NA,NA,NA,
"2021-06-15T07:38:09.607 UTC",0,"2021-06-15T07:38:09.607 UTC",383,NA,NA,NA,NA,
"2021-06-15T07:38:10.616 UTC",0,"2021-06-15T07:38:10.616 UTC",429,NA,NA,NA,NA,
"2021-06-15T07:38:11.626 UTC",0,"2021-06-15T07:38:11.626 UTC",517,NA,NA,NA,NA,
"2021-06-15T07:38:12.721 UTC",0,"2021-06-15T07:38:12.721 UTC",608,NA,NA,NA,NA,
"2021-06-15T07:38:13.733 UTC",0,"2021-06-15T07:38:13.733 UTC",688,NA,NA,NA,NA,
"2021-06-15T07:38:14.742 UTC",0,"2021-06-15T07:38:14.742 UTC",784,NA,NA,NA,NA,
"2021-06-15T07:38:15.753 UTC",0,"2021-06-15T07:38:15.753 UTC",784,NA,NA,NA,NA,
"2021-06-15T07:38:16.763 UTC",0,"2021-06-15T07:38:16.763 UTC",834,NA,NA,NA,NA,
"2021-06-15T07:38:17.772 UTC",0,"2021-06-15T07:38:17.772 UTC",914,NA,NA,NA,NA,
"2021-06-15T07:38:18.784 UTC",0,"2021-06-15T07:38:18.784 UTC",985,NA,NA,NA,NA,
"2021-06-15T07:38:19.794 UTC",0,"2021-06-15T07:38:19.794 UTC",1106,NA,NA,NA,NA,
"2021-06-15T07:38:20.804 UTC",0,"2021-06-15T07:38:20.804 UTC",1208,NA,NA,NA,NA,
"2021-06-15T07:38:21.814 UTC",0,"2021-06-15T07:38:21.814 UTC",1291,NA,NA,NA,NA,
"2021-06-15T07:38:22.825 UTC",0,"2021-06-15T07:38:22.825 UTC",1374,NA,NA,NA,NA,
"2021-06-15T07:38:23.841 UTC",0,"2021-06-15T07:38:23.841 UTC",1455,NA,NA,NA,NA,
"2021-06-15T07:38:24.853 UTC",0,"2021-06-15T07:38:24.853 UTC",1512,NA,NA,NA,NA,
"2021-06-15T07:38:25.863 UTC",0,"2021-06-15T07:38:25.863 UTC",1574,NA,NA,NA,NA,
"2021-06-15T07:38:26.874 UTC",0,"2021-06-15T07:38:26.874 UTC",1702,NA,NA,NA,NA,
"2021-06-15T07:38:27.885 UTC",0,"2021-06-15T07:38:27.885 UTC",1737,NA,NA,NA,NA,
"2021-06-15T07:38:28.896 UTC",0,"2021-06-15T07:38:28.896 UTC",1781,NA,NA,NA,NA,
"2021-06-15T07:38:29.907 UTC",0,"2021-06-15T07:38:29.907 UTC",1874,NA,NA,NA,NA,
"2021-06-15T07:38:30.919 UTC",0,"2021-06-15T07:38:30.919 UTC",1970,NA,NA,NA,NA,
"2021-06-15T07:38:31.930 UTC",0,"2021-06-15T07:38:31.930 UTC",2052,NA,NA,NA,NA,
"2021-06-15T07:38:32.940 UTC",0,"2021-06-15T07:38:32.940 UTC",2175,NA,NA,NA,NA,
"2021-06-15T07:38:33.952 UTC",0,"2021-06-15T07:38:33.952 UTC",2271,NA,NA,NA,NA,
"2021-06-15T07:38:34.962 UTC",0,"2021-06-15T07:38:34.962 UTC",2379,NA,NA,NA,NA,
"2021-06-15T07:38:35.974 UTC",0,"2021-06-15T07:38:35.974 UTC",2431,NA,NA,NA,NA,
"2021-06-15T07:38:36.984 UTC",0,"2021-06-15T07:38:36.984 UTC",2516,NA,NA,NA,NA,
"2021-06-15T07:38:37.994 UTC",0,"2021-06-15T07:38:37.994 UTC",2589,NA,NA,NA,NA,
"2021-06-15T07:38:39.008 UTC",0,"2021-06-15T07:38:39.008 UTC",2648,NA,NA,NA,NA,
"2021-06-15T07:38:40.022 UTC",0,"2021-06-15T07:38:40.022 UTC",2727,NA,NA,NA,NA,
"2021-06-15T07:38:41.032 UTC",0,"2021-06-15T07:38:41.032 UTC",2802,NA,NA,NA,NA,
"2021-06-15T07:38:42.042 UTC",0,"2021-06-15T07:38:42.042 UTC",2896,NA,NA,NA,NA,
"2021-06-15T07:38:43.052 UTC",0,"2021-06-15T07:38:43.052 UTC",2966,NA,NA,NA,NA,
"2021-06-15T07:38:44.063 UTC",0,"2021-06-15T07:38:44.063 UTC",3049,NA,NA,NA,NA,
"2021-06-15T07:38:45.077 UTC",0,"2021-06-15T07:38:45.077 UTC",3143,NA,NA,NA,NA,
"2021-06-15T07:38:46.088 UTC",0,"2021-06-15T07:38:46.088 UTC",3258,NA,NA,NA,NA,
"2021-06-15T07:38:47.098 UTC",0,"2021-06-15T07:38:47.098 UTC",3370,NA,NA,NA,NA,
"2021-06-15T07:38:48.111 UTC",0,"2021-06-15T07:38:48.111 UTC",3470,NA,NA,NA,NA,
"2021-06-15T07:38:49.121 UTC",0,"2021-06-15T07:38:49.121 UTC",3536,NA,NA,NA,NA,
"2021-06-15T07:38:50.135 UTC",0,"2021-06-15T07:38:50.135 UTC",3679,NA,NA,NA,NA,
"2021-06-15T07:38:51.148 UTC",0,"2021-06-15T07:38:51.148 UTC",3801,NA,NA,NA,NA,
"2021-06-15T07:38:52.160 UTC",0,"2021-06-15T07:38:52.160 UTC",3873,NA,NA,NA,NA,
"2021-06-15T07:38:53.174 UTC",0,"2021-06-15T07:38:53.174 UTC",3982,NA,NA,NA,NA,
"2021-06-15T07:38:54.185 UTC",0,"2021-06-15T07:38:54.185 UTC",4106,NA,NA,NA,NA,
"2021-06-15T07:38:55.197 UTC",0,"2021-06-15T07:38:55.197 UTC",4106,NA,NA,NA,NA,
"2021-06-15T07:38:56.208 UTC",0,"2021-06-15T07:38:56.208 UTC",4177,NA,NA,NA,NA,
"2021-06-15T07:38:57.220 UTC",0,"2021-06-15T07:38:57.220 UTC",4276,NA,NA,NA,NA,
