Step Index,Position [Deg],Attenuation [dB],Throughput [Mbps],Beacon RSSI [dBm],Data RSSI [dBm]
0,NA,0,40.10,-59,-66
1,NA,0,18.84,-61,-61
2,NA,0,167.32,-60,-66
3,NA,0,110.93,-60,-60
4,NA,0,52.91,-59,-65
5,NA,0,79.36,-60,-65
6,NA,0,198.33,-60,-65
7,NA,0,193.27,-59,-59
8,NA,0,105.61,-59,-66
9,NA,0,153.11,-59,-64
10,NA,0,238.60,-62,-66
11,NA,0,244.55,-62,-62
12,NA,0,167.60,-60,-66
13,NA,0,192.40,-60,-64
14,NA,0,238.84,-61,-66
15,NA,0,239.34,-60,-61
16,NA,0,179.96,-61,-66
17,NA,0,217.95,-60,-66
18,NA,0,253.40,-59,-65
19,NA,0,266.60,-62,-62
20,NA,0,202.40,-60,-65
21,NA,0,265.78,-62,-67
22,NA,0,81.47,-62,-68
23,NA,0,0,-60,-61
24,NA,0,194.29,-61,-66
25,NA,0,248.87,-61,-67
