Channel,Frequency,Security,NSS,Cfg-Mode,Bandwidth,Pkt,Traffic-Type,Direction,Atten,Rotation,Offered-1m,Rx-Bps,Rx-Bps-1m,Rx-Bps-LL,Rx-Bps-3s,RSSI,Tx-Failed,Tx-Failed%,Tx-Rate,Rx-Rate,Rpt-Mode,Rpt-Mode-Brief
40,5200,WPA2,4,AUTO,20,60,UDP,DUT-TX,NA,NA,91.207 Mbps,40.448 Mbps,40.684 Mbps,135.612 Mbps,41.092 Mbps,-64,0 / 9694853,0,57.8 Mbps,346.7 Mbps,802.11an-AC,802.11ac
40,5200,WPA2,4,AUTO,20,60,UDP,DUT-RX,NA,NA,18.961 Mbps,18.772 Mbps,18.894 Mbps,62.98 Mbps,18.593 Mbps,-61,379 / 2092405,0.018,346.7 Mbps,346.7 Mbps,802.11an-AC,802.11ac
40,5200,WPA2,4,AUTO,20,142,UDP,DUT-TX,NA,NA,328.122 Mbps,198.026 Mbps,198.453 Mbps,281.803 Mbps,201.939 Mbps,-67,0 / 6475831,0,346.7 Mbps,385.3 Mbps,802.11an-AC,802.11ac
40,5200,WPA2,4,AUTO,20,142,UDP,DUT-RX,NA,NA,110.968 Mbps,110.651 Mbps,110.962 Mbps,157.565 Mbps,109.079 Mbps,-61,574 / 2090162,0.027,288.9 Mbps,346.7 Mbps,802.11an-AC,802.11ac
40,5200,WPA2,4,AUTO,20,142,TCP,DUT-TX,NA,NA,53.916 Mbps,53.61 Mbps,53.73 Mbps,91.97 Mbps,50.903 Mbps,-66,0 / 1341815,0,346.7 Mbps,289 Mbps,802.11an-AC,802.11ac
40,5200,WPA2,4,AUTO,20,142,TCP,DUT-RX,NA,NA,81.299 Mbps,76.42 Mbps,76.596 Mbps,127.406 Mbps,81.045 Mbps,-66,765 / 2153867,0.036,346.7 Mbps,289 Mbps,802.11an-AC,802.11ac
40,5200,WPA2,4,AUTO,20,256,UDP,DUT-TX,NA,NA,328.051 Mbps,198.999 Mbps,199.404 Mbps,238.539 Mbps,205.873 Mbps,-65,0 / 2978544,0,346.7 Mbps,346.7 Mbps,802.11an-AC,802.11ac
40,5200,WPA2,4,AUTO,20,256,UDP,DUT-RX,NA,NA,183.472 Mbps,182.998 Mbps,183.453 Mbps,219.458 Mbps,159.342 Mbps,-60,384 / 1730621,0.022,260 Mbps,346.7 Mbps,802.11an-AC,802.11ac
40,5200,WPA2,4,AUTO,20,256,TCP,DUT-TX,NA,NA,103.227 Mbps,102.425 Mbps,102.712 Mbps,130.538 Mbps,99.423 Mbps,-66,0 / 1110971,0,346.7 Mbps,289 Mbps,802.11an-AC,802.11ac
40,5200,WPA2,4,AUTO,20,256,TCP,DUT-RX,NA,NA,159.955 Mbps,155.302 Mbps,155.834 Mbps,197.757 Mbps,162.569 Mbps,-65,384 / 1745791,0.022,346.7 Mbps,288.9 Mbps,802.11an-AC,802.11ac
