Step Index,Position [Deg],Attenuation [dB],Throughput [Mbps],Beacon RSSI [dBm],Data RSSI [dBm]
0,NA,0,41.12,-48,-52
1,NA,0,17.05,-48,-48
2,NA,0,228.11,-48,-53
3,NA,0,98.58,-48,-48
4,NA,0,72.93,-48,-53
5,NA,0,73.41,-48,-53
6,NA,0,489.42,-49,-52
7,NA,0,213.60,-49,-49
8,NA,0,177.00,-49,-53
9,NA,0,186.24,-49,-53
10,NA,0,971.57,-49,-53
11,NA,0,494.46,-48,-49
12,NA,0,373.11,-48,-53
13,NA,0,456.57,-48,-53
14,NA,0,1063.25,-48,-53
15,NA,0,1061.43,-49,-49
16,NA,0,457.35,-49,-53
17,NA,0,990.54,-49,-53
18,NA,0,1090.58,-49,-53
19,NA,0,1383.36,-49,-49
20,NA,0,501.25,-49,-53
21,NA,0,1250.89,-49,-54
22,NA,0,12.65,-49,-54
23,NA,0,149.43,-49,-49
24,NA,0,499.38,-48,-54
25,NA,0,1245.84,-48,-54
