Step Index,Position [Deg],Attenuation [dB],Throughput [Mbps],Beacon RSSI [dBm],Data RSSI [dBm]
0,NA,0,41.36,-47,-52
1,NA,0,17.08,-48,-48
2,NA,0,228.22,-48,-53
3,NA,0,98.38,-48,-48
4,NA,0,72.68,-48,-52
5,NA,0,73.41,-49,-53
6,NA,0,485.73,-49,-53
7,NA,0,214.01,-49,-49
8,NA,0,169.80,-48,-53
9,NA,0,186.93,-48,-53
10,NA,0,986.89,-48,-53
11,NA,0,494.73,-48,-48
12,NA,0,364.96,-49,-53
13,NA,0,458.62,-49,-53
14,NA,0,1076.30,-49,-53
15,NA,0,1099.00,-49,-49
16,NA,0,472.18,-49,-53
17,NA,0,984.13,-49,-53
18,NA,0,1083.47,-49,-53
19,NA,0,1303.31,-49,-49
20,NA,0,508.72,-49,-53
21,NA,0,1226.85,-49,-54
22,NA,0,0.48,-49,-53
23,NA,0,215.66,-49,-49
24,NA,0,506.53,-49,-53
25,NA,0,1233.31,-49,-53
