Channel,Frequency,Security,NSS,Cfg-Mode,Bandwidth,Pkt,Traffic-Type,Direction,Atten,Rotation,Offered-1m,Rx-Bps,Rx-Bps-1m,Rx-Bps-LL,Rx-Bps-3s,RSSI,Tx-Failed,Tx-Failed%,Tx-Rate,Rx-Rate,Rpt-Mode,Rpt-Mode-Brief
36,5180,WPA2,4,AUTO,160,60,UDP,DUT-TX,NA,NA,94.617 Mbps,41.357 Mbps,41.56 Mbps,138.534 Mbps,41.452 Mbps,-52,0 / 9848884,0,390.2 Mbps,1.3 Gbps,802.11an-AC,802.11ac
36,5180,WPA2,4,AUTO,160,60,UDP,DUT-RX,NA,NA,17.231 Mbps,17.079 Mbps,17.181 Mbps,57.268 Mbps,17.072 Mbps,-48,0 / 1789246,0,1733.3 Mbps,1.3 Gbps,802.11an-AC,802.11ac
36,5180,WPA2,4,AUTO,160,142,UDP,DUT-TX,NA,NA,460.987 Mbps,228.224 Mbps,228.605 Mbps,324.619 Mbps,219.151 Mbps,-53,0 / 9040038,0,1733.3 Mbps,1.3 Gbps,802.11an-AC,802.11ac
36,5180,WPA2,4,AUTO,160,142,UDP,DUT-RX,NA,NA,98.407 Mbps,98.379 Mbps,98.393 Mbps,139.717 Mbps,98.382 Mbps,-48,0 / 1854248,0,1733.3 Mbps,1.3 Gbps,802.11an-AC,802.11ac
36,5180,WPA2,4,AUTO,160,142,TCP,DUT-TX,NA,NA,74.687 Mbps,72.683 Mbps,72.795 Mbps,121.277 Mbps,69.498 Mbps,-52,0 / 1813584,0,1300 Mbps,1.3 Gbps,802.11an-AC,802.11ac
36,5180,WPA2,4,AUTO,160,142,TCP,DUT-RX,NA,NA,75.142 Mbps,73.413 Mbps,73.46 Mbps,125.487 Mbps,73.596 Mbps,-53,0 / 1820683,0,1733.3 Mbps,1.3 Gbps,802.11an-AC,802.11ac
36,5180,WPA2,4,AUTO,160,256,UDP,DUT-TX,NA,NA,1.102 Gbps,485.732 Mbps,486.494 Mbps,581.974 Mbps,486.933 Mbps,-53,0 / 9703929,0,1733.3 Mbps,1.3 Gbps,802.11an-AC,802.11ac
36,5180,WPA2,4,AUTO,160,256,UDP,DUT-RX,NA,NA,214.805 Mbps,214.006 Mbps,214.364 Mbps,256.436 Mbps,213.944 Mbps,-49,0 / 2000376,0,1733.3 Mbps,1.3 Gbps,802.11an-AC,802.11ac
36,5180,WPA2,4,AUTO,160,256,TCP,DUT-TX,NA,NA,171.45 Mbps,169.802 Mbps,170.276 Mbps,218.769 Mbps,170.139 Mbps,-53,0 / 1690670,0,1733.3 Mbps,1.3 Gbps,802.11an-AC,802.11ac
36,5180,WPA2,4,AUTO,160,256,TCP,DUT-RX,NA,NA,192.415 Mbps,186.93 Mbps,187.411 Mbps,240.654 Mbps,187.2 Mbps,-53,0 / 1870160,0,1733.3 Mbps,1.3 Gbps,802.11an-AC,802.11ac
36,5180,WPA2,4,AUTO,160,512,UDP,DUT-TX,NA,NA,2.362 Gbps,986.894 Mbps,990.826 Mbps,1.079 Gbps,1.006 Gbps,-53,0 / 9771837,0,1733.3 Mbps,1.3 Gbps,802.11an-AC,802.11ac
36,5180,WPA2,4,AUTO,160,512,UDP,DUT-RX,NA,NA,497.232 Mbps,494.728 Mbps,497.239 Mbps,541.673 Mbps,494.492 Mbps,-48,0 / 1984259,0,1733.3 Mbps,1.3 Gbps,802.11an-AC,802.11ac
36,5180,WPA2,4,AUTO,160,512,TCP,DUT-TX,NA,NA,370.337 Mbps,364.964 Mbps,367.05 Mbps,411.826 Mbps,347.531 Mbps,-53,0 / 1548904,0,1733.3 Mbps,1.3 Gbps,802.11an-AC,802.11ac
36,5180,WPA2,4,AUTO,160,512,TCP,DUT-RX,NA,NA,465.755 Mbps,458.619 Mbps,461.882 Mbps,518.247 Mbps,458.757 Mbps,-53,0 / 1982280,0,1733.3 Mbps,1.3 Gbps,802.11an-AC,802.11ac
36,5180,WPA2,4,AUTO,160,1024,UDP,DUT-TX,NA,NA,2.965 Gbps,1.076 Gbps,1.085 Gbps,1.131 Gbps,1.084 Gbps,-53,0 / 5669355,0,1733.3 Mbps,1.3 Gbps,802.11an-AC,802.11ac
36,5180,WPA2,4,AUTO,160,1024,UDP,DUT-RX,NA,NA,1.099 Gbps,1.099 Gbps,1.099 Gbps,1.146 Gbps,1.041 Gbps,-49,0 / 2112660,0,1560 Mbps,1.3 Gbps,802.11an-AC,802.11ac
36,5180,WPA2,4,AUTO,160,1024,TCP,DUT-TX,NA,NA,474.313 Mbps,472.185 Mbps,472.697 Mbps,499.921 Mbps,479.357 Mbps,-53,0 / 933518,0,1733.3 Mbps,1.3 Gbps,802.11an-AC,802.11ac
36,5180,WPA2,4,AUTO,160,1024,TCP,DUT-RX,NA,NA,991.262 Mbps,984.135 Mbps,986.271 Mbps,1.043 Gbps,953.138 Mbps,-53,0 / 2193207,0,1560 Mbps,1.3 Gbps,802.11an-AC,802.11ac
36,5180,WPA2,4,AUTO,160,MTU,UDP,DUT-TX,NA,NA,2.948 Gbps,1.083 Gbps,1.084 Gbps,1.115 Gbps,1.066 Gbps,-53,0 / 3861080,0,1733.3 Mbps,1.3 Gbps,802.11an-AC,802.11ac
36,5180,WPA2,4,AUTO,160,MTU,UDP,DUT-RX,NA,NA,1.305 Gbps,1.303 Gbps,1.305 Gbps,1.342 Gbps,1.155 Gbps,-49,0 / 1668414,0,1560 Mbps,1.3 Gbps,802.11an-AC,802.11ac
36,5180,WPA2,4,AUTO,160,MTU,TCP,DUT-TX,NA,NA,510.957 Mbps,508.718 Mbps,509.703 Mbps,532.573 Mbps,509.362 Mbps,-53,0 / 779393,0,1733.3 Mbps,1.3 Gbps,802.11an-AC,802.11ac
36,5180,WPA2,4,AUTO,160,MTU,TCP,DUT-RX,NA,NA,1.244 Gbps,1.227 Gbps,1.229 Gbps,1.284 Gbps,1.215 Gbps,-54,0 / 2125860,0,1733.3 Mbps,1.3 Gbps,802.11an-AC,802.11ac
36,5180,WPA2,4,AUTO,160,4000,UDP,DUT-TX,NA,NA,2.939 Gbps,479.159 Kbps,479.662 Kbps,494.932 Kbps,0 bps,-53,0 / 12650169,0,1733.3 Mbps,1.3 Gbps,802.11an-AC,802.11ac
36,5180,WPA2,4,AUTO,160,4000,UDP,DUT-RX,NA,NA,1.24 Gbps,215.659 Mbps,216.116 Mbps,222.996 Mbps,819.496 Mbps,-49,0 / 1767423,0,1300 Mbps,1.3 Gbps,802.11an-AC,802.11ac
36,5180,WPA2,4,AUTO,160,4000,TCP,DUT-TX,NA,NA,507.512 Mbps,506.53 Mbps,507.469 Mbps,530.243 Mbps,496.613 Mbps,-53,0 / 797307,0,1560 Mbps,1.3 Gbps,802.11an-AC,802.11ac
36,5180,WPA2,4,AUTO,160,4000,TCP,DUT-RX,NA,NA,1.241 Gbps,1.233 Gbps,1.236 Gbps,1.292 Gbps,1.242 Gbps,-53,0 / 2127467,0,1733.3 Mbps,1.3 Gbps,802.11an-AC,802.11ac
