Step Index	Position [Deg]	Attenuation [dB]	Throughput [Mbps]	Beacon RSSI [dBm]	Data RSSI [dBm]
0	NA	0	7.05	-33	-34
1	NA	5.00	6.85	-37	-38
2	NA	10.00	6.87	-38	-39
3	NA	15.00	6.89	-41	-42
4	NA	20.00	6.80	-46	-48
5	NA	25.00	6.91	-51	-52
6	NA	30.00	6.87	-56	-58
7	NA	35.00	6.73	-60	-62
8	NA	40.00	6.90	-66	-67
9	NA	45.00	4.80	-70	-72
10	NA	50.00	7.03	-75	-77
11	NA	55.00	7.02	-79	-79
12	NA	60.00	6.61	-82	-79
13	NA	65.00	2.21	-83	-79
14	NA	70.00	0.35	-83	-80
15	NA	75.00	0.17	-85	-84
16	NA	80.00	0.03	-83	-83
17	NA	85.00	0.21	-84	-80
18	NA	90.00	0.25	-83	-81
19	NA	95.00	0.25	-84	-80
20	NA	0	3.66	-32	-33
21	NA	5.00	3.97	-35	-36
22	NA	10.00	3.63	-37	-38
23	NA	15.00	3.03	-41	-41
24	NA	20.00	3.63	-47	-47
25	NA	25.00	3.65	-51	-53
26	NA	30.00	3.23	-57	-57
27	NA	35.00	0	-61	-61
28	NA	40.00	0	-65	-65
29	NA	45.00	0	-70	-70
30	NA	0	0	-33	-33
31	NA	5.00	5.61	-35	-36
32	NA	10.00	3.34	-35	-38
33	NA	15.00	3.77	-41	-42
34	NA	20.00	3.22	-46	-48
35	NA	25.00	3.38	-52	-53
36	NA	30.00	3.37	-56	-57
37	NA	35.00	3.47	-61	-63
38	NA	40.00	3.82	-66	-67
39	NA	45.00	3.68	-71	-72
40	NA	50.00	6.04	-76	-77
41	NA	55.00	6.03	-80	-79
42	NA	60.00	4.51	-81	-79
43	NA	65.00	0.78	-83	-80
44	NA	70.00	0.18	-83	-80
45	NA	75.00	0.03	-83	-83
46	NA	80.00	0.04	0	0
47	NA	85.00	0.18	-83	-81
48	NA	90.00	0.13	-84	-80
49	NA	95.00	0.05	0	0
50	NA	0	3.56	-31	-34
51	NA	5.00	3.53	-35	-37
52	NA	10.00	3.54	-40	-42
53	NA	15.00	3.50	-42	-43
54	NA	20.00	3.56	-47	-49
55	NA	25.00	3.29	-52	-53
56	NA	30.00	3.20	-57	-59
57	NA	35.00	3.22	-62	-64
58	NA	40.00	3.59	-67	-68
59	NA	45.00	2.30	-72	-73
60	NA	50.00	2.73	-76	-77
61	NA	55.00	2.36	-80	-79
62	NA	60.00	1.82	-83	-81
63	NA	65.00	1.07	-84	-81
64	NA	70.00	0.23	0	0
65	NA	75.00	0.03	-84	-84
66	NA	80.00	0.02	0	0
67	NA	85.00	0.05	0	0
68	NA	90.00	0.27	0	0
69	NA	95.00	0.22	0	0
