Channel,Frequency,Security,NSS,Cfg-Mode,Bandwidth,Pkt,Traffic-Type,Direction,Atten,Rotation,Duration,Offered-1m,Rx-Bps,Rx-Bps-1m,Rx-Bps-LL,Rx-Bps-3s,RSSI,Tx-Failed,Tx-Failed%,Tx-Rate,Rx-Rate,Rpt-Mode,Rpt-Mode-Brief
6,2437,WPA2,1,802.11b,20,MTU,UDP,DUT-TX,0,NA,60,9.213 Mbps,7.047 Mbps,7.05 Mbps,7.251 Mbps,7.066 Mbps,-34,0 / 46832,0,11 Mbps,11 Mbps,802.11b,802.11b
6,2437,WPA2,1,802.11b,20,MTU,UDP,DUT-TX,5.0,NA,60,9.221 Mbps,6.852 Mbps,7.054 Mbps,7.255 Mbps,7.066 Mbps,-38,0 / 50011,0,11 Mbps,11 Mbps,802.11b,802.11b
6,2437,WPA2,1,802.11b,20,MTU,UDP,DUT-TX,10.0,NA,60,9.217 Mbps,6.866 Mbps,7.061 Mbps,7.262 Mbps,7.075 Mbps,-39,0 / 49425,0,11 Mbps,11 Mbps,802.11b,802.11b
6,2437,WPA2,1,802.11b,20,MTU,UDP,DUT-TX,15.0,NA,60,9.216 Mbps,6.89 Mbps,7.086 Mbps,7.288 Mbps,7.098 Mbps,-42,0 / 48089,0,11 Mbps,11 Mbps,802.11b,802.11b
6,2437,WPA2,1,802.11b,20,MTU,UDP,DUT-TX,20.0,NA,60,9.215 Mbps,6.804 Mbps,6.998 Mbps,7.198 Mbps,6.874 Mbps,-48,0 / 48629,0,11 Mbps,11 Mbps,802.11b,802.11b
6,2437,WPA2,1,802.11b,20,MTU,UDP,DUT-TX,25.0,NA,60,9.215 Mbps,6.906 Mbps,7.104 Mbps,7.307 Mbps,7.11 Mbps,-52,0 / 48002,0,11 Mbps,11 Mbps,802.11b,802.11b
6,2437,WPA2,1,802.11b,20,MTU,UDP,DUT-TX,30.0,NA,60,9.217 Mbps,6.868 Mbps,7.051 Mbps,7.252 Mbps,7.063 Mbps,-58,0 / 49440,0,11 Mbps,11 Mbps,802.11b,802.11b
6,2437,WPA2,1,802.11b,20,MTU,UDP,DUT-TX,35.0,NA,60,9.217 Mbps,6.731 Mbps,6.926 Mbps,7.123 Mbps,6.82 Mbps,-62,0 / 48581,0,11 Mbps,11 Mbps,802.11b,802.11b
6,2437,WPA2,1,802.11b,20,MTU,UDP,DUT-TX,40.0,NA,60,9.216 Mbps,6.902 Mbps,7.083 Mbps,7.285 Mbps,7.092 Mbps,-67,0 / 49530,0,11 Mbps,11 Mbps,802.11b,802.11b
6,2437,WPA2,1,802.11b,20,MTU,UDP,DUT-TX,45.0,NA,60,9.218 Mbps,4.804 Mbps,4.944 Mbps,5.085 Mbps,4.676 Mbps,-72,0 / 48413,0,11 Mbps,11 Mbps,802.11b,802.11b
