Channel	Frequency	Security	NSS	Cfg-Mode	Bandwidth	Pkt	Traffic-Type	Direction	Atten	Rotation	Offered-1m	Rx-Bps	Rx-Bps-1m	Rx-Bps-LL	Rx-Bps-3s	RSSI	Tx-Failed	Tx-Failed%	Tx-Rate	Rx-Rate	Rpt-Mode	Rpt-Mode-Brief
36	5180	WPA2	4	AUTO	160	60	UDP	DUT-TX	NA	NA	76.48 Mbps	40.969 Mbps	41.025 Mbps	136.75 Mbps	41.561 Mbps	-52	0 / 8139625	0	260 Mbps	1.3 Gbps	802.11an-AC	802.11ac
36	5180	WPA2	4	AUTO	160	60	UDP	DUT-RX	NA	NA	17.217 Mbps	17.052 Mbps	17.093 Mbps	56.975 Mbps	17.1 Mbps	-48	0 / 1792562	0	1733.3 Mbps	1.3 Gbps	802.11an-AC	802.11ac
36	5180	WPA2	4	AUTO	160	142	UDP	DUT-TX	NA	NA	509.574 Mbps	229.63 Mbps	230.562 Mbps	327.398 Mbps	228.248 Mbps	-52	0 / 10087162	0	1733.3 Mbps	1.3 Gbps	802.11an-AC	802.11ac
36	5180	WPA2	4	AUTO	160	142	UDP	DUT-RX	NA	NA	98.762 Mbps	98.221 Mbps	98.725 Mbps	140.189 Mbps	98.295 Mbps	-48	191 / 1851743	0.01	1733.3 Mbps	1.3 Gbps	802.11an-AC	802.11ac
36	5180	WPA2	4	AUTO	160	142	TCP	DUT-TX	NA	NA	73.384 Mbps	71.49 Mbps	71.899 Mbps	123.069 Mbps	69.343 Mbps	-53	0 / 2019324	0	1733.3 Mbps	1.3 Gbps	802.11an-AC	802.11ac
36	5180	WPA2	4	AUTO	160	142	TCP	DUT-RX	NA	NA	77.561 Mbps	73.418 Mbps	73.884 Mbps	126.378 Mbps	73.538 Mbps	-53	191 / 2067089	0.009	1733.3 Mbps	1.3 Gbps	802.11an-AC	802.11ac
36	5180	WPA2	4	AUTO	160	256	UDP	DUT-TX	NA	NA	1.06 Gbps	477.154 Mbps	480.486 Mbps	574.787 Mbps	488.928 Mbps	-53	0 / 9571982	0	1733.3 Mbps	1.3 Gbps	802.11an-AC	802.11ac
36	5180	WPA2	4	AUTO	160	256	UDP	DUT-RX	NA	NA	215.863 Mbps	214.3 Mbps	215.926 Mbps	258.304 Mbps	213.78 Mbps	-48	0 / 1996049	0	1733.3 Mbps	1.3 Gbps	802.11an-AC	802.11ac
36	5180	WPA2	4	AUTO	160	256	TCP	DUT-TX	NA	NA	174.768 Mbps	173.371 Mbps	174.453 Mbps	221.368 Mbps	165.369 Mbps	-53	0 / 1730379	0	1733.3 Mbps	1.3 Gbps	802.11an-AC	802.11ac
36	5180	WPA2	4	AUTO	160	256	TCP	DUT-RX	NA	NA	192.864 Mbps	186.689 Mbps	187.872 Mbps	238.411 Mbps	187.119 Mbps	-53	0 / 1855982	0	1733.3 Mbps	1.3 Gbps	802.11an-AC	802.11ac
36	5180	WPA2	4	AUTO	160	512	UDP	DUT-TX	NA	NA	2.084 Gbps	987.201 Mbps	992.816 Mbps	1.082 Gbps	994.596 Mbps	-53	0 / 8500243	0	1733.3 Mbps	1.3 Gbps	802.11an-AC	802.11ac
36	5180	WPA2	4	AUTO	160	512	UDP	DUT-RX	NA	NA	497.008 Mbps	494.063 Mbps	496.909 Mbps	541.314 Mbps	495.065 Mbps	-48	191 / 2244729	0.009	1170 Mbps	1.3 Gbps	802.11an-AC	802.11ac
36	5180	WPA2	4	AUTO	160	512	TCP	DUT-TX	NA	NA	371.456 Mbps	368.053 Mbps	369.94 Mbps	413.132 Mbps	362.859 Mbps	-53	0 / 1733107	0	1733.3 Mbps	1.3 Gbps	802.11an-AC	802.11ac
36	5180	WPA2	4	AUTO	160	512	TCP	DUT-RX	NA	NA	467.011 Mbps	457.275 Mbps	459.912 Mbps	515.952 Mbps	458.282 Mbps	-54	0 / 1935642	0	1733.3 Mbps	1.3 Gbps	802.11an-AC	802.11ac
36	5180	WPA2	4	AUTO	160	1024	UDP	DUT-TX	NA	NA	2.96 Gbps	1.041 Gbps	1.048 Gbps	1.093 Gbps	1.062 Gbps	-53	0 / 5773132	0	1733.3 Mbps	1.3 Gbps	802.11an-AC	802.11ac
36	5180	WPA2	4	AUTO	160	1024	UDP	DUT-RX	NA	NA	1.08 Gbps	1.072 Gbps	1.08 Gbps	1.126 Gbps	1.113 Gbps	-48	0 / 2057165	0	1733.3 Mbps	1.3 Gbps	802.11an-AC	802.11ac
