Channel	Frequency	Security	NSS	Cfg-Mode	Bandwidth	Pkt	Traffic-Type	Direction	Atten	Rotation	Offered-1m	Rx-Bps	Rx-Bps-1m	Rx-Bps-LL	Rx-Bps-3s	RSSI	Tx-Failed	Tx-Failed%	Tx-Rate	Rx-Rate	Rpt-Mode	Rpt-Mode-Brief
6	2437	WPA2	4	AUTO	20	60	UDP	DUT-TX	NA	NA	92.31 Mbps	39.866 Mbps	39.996 Mbps	133.32 Mbps	40.529 Mbps	-42	0 / 9104725	0	57.8 Mbps	288.9 Mbps	802.11bgn	802.11n
6	2437	WPA2	4	AUTO	20	60	UDP	DUT-RX	NA	NA	19.066 Mbps	18.966 Mbps	19.011 Mbps	63.371 Mbps	18.696 Mbps	-34	192 / 1986342	0.01	260 Mbps	288.9 Mbps	802.11bgn	802.11n
6	2437	WPA2	4	AUTO	20	142	UDP	DUT-TX	NA	NA	328.967 Mbps	165.605 Mbps	166.412 Mbps	236.305 Mbps	163.011 Mbps	-42	0 / 6537427	0	260 Mbps	288.9 Mbps	802.11bgn	802.11n
6	2437	WPA2	4	AUTO	20	142	UDP	DUT-RX	NA	NA	116.565 Mbps	115.954 Mbps	116.556 Mbps	165.51 Mbps	116.181 Mbps	-35	0 / 2473996	0	288.9 Mbps	288.9 Mbps	802.11bgn	802.11n
6	2437	WPA2	4	AUTO	20	142	TCP	DUT-TX	NA	NA	53.824 Mbps	52.842 Mbps	53.08 Mbps	90.768 Mbps	52.476 Mbps	-42	0 / 1279064	0	288.9 Mbps	288.9 Mbps	802.11bgn	802.11n
6	2437	WPA2	4	AUTO	20	142	TCP	DUT-RX	NA	NA	81.328 Mbps	80.864 Mbps	81.344 Mbps	138.836 Mbps	82.392 Mbps	-42	192 / 2005243	0.01	288.9 Mbps	288.9 Mbps	802.11bgn	802.11n
6	2437	WPA2	4	AUTO	20	256	UDP	DUT-TX	NA	NA	328.493 Mbps	205.106 Mbps	206.144 Mbps	246.602 Mbps	206.573 Mbps	-43	0 / 2993587	0	288.9 Mbps	288.9 Mbps	802.11bgn	802.11n
6	2437	WPA2	4	AUTO	20	256	UDP	DUT-RX	NA	NA	167.835 Mbps	166.922 Mbps	167.774 Mbps	200.702 Mbps	172.929 Mbps	-35	192 / 1470246	0.013	288.9 Mbps	288.9 Mbps	802.11bgn	802.11n
6	2437	WPA2	4	AUTO	20	256	TCP	DUT-TX	NA	NA	105.292 Mbps	103.558 Mbps	104.062 Mbps	133.658 Mbps	104.978 Mbps	-42	0 / 1036474	0	288.9 Mbps	288.9 Mbps	802.11bgn	802.11n
6	2437	WPA2	4	AUTO	20	256	TCP	DUT-RX	NA	NA	132.98 Mbps	127.925 Mbps	128.744 Mbps	165.324 Mbps	135.201 Mbps	-43	192 / 1273994	0.015	288.9 Mbps	288.9 Mbps	802.11bgn	802.11n
6	2437	WPA2	4	AUTO	20	512	UDP	DUT-TX	NA	NA	329.832 Mbps	230.838 Mbps	232.571 Mbps	253.354 Mbps	232.354 Mbps	-43	0 / 1347097	0	288.9 Mbps	288.9 Mbps	802.11bgn	802.11n
6	2437	WPA2	4	AUTO	20	512	UDP	DUT-RX	NA	NA	215.044 Mbps	211.476 Mbps	213.218 Mbps	232.271 Mbps	217.332 Mbps	-35	120 / 960591	0.012	288.9 Mbps	288.9 Mbps	802.11bgn	802.11n
6	2437	WPA2	4	AUTO	20	512	TCP	DUT-TX	NA	NA	160.934 Mbps	159.637 Mbps	159.717 Mbps	179.204 Mbps	162.25 Mbps	-42	0 / 637352	0	288.9 Mbps	288.9 Mbps	802.11bgn	802.11n
6	2437	WPA2	4	AUTO	20	512	TCP	DUT-RX	NA	NA	168.037 Mbps	167.77 Mbps	168.025 Mbps	188.448 Mbps	176.684 Mbps	-43	120 / 802905	0.015	288.9 Mbps	288.9 Mbps	802.11bgn	802.11n
6	2437	WPA2	4	AUTO	20	1024	UDP	DUT-TX	NA	NA	327.932 Mbps	243.503 Mbps	244.154 Mbps	254.597 Mbps	243.757 Mbps	-43	0 / 640671	0	260 Mbps	288.9 Mbps	802.11bgn	802.11n
6	2437	WPA2	4	AUTO	20	1024	UDP	DUT-RX	NA	NA	229.023 Mbps	224.873 Mbps	225.341 Mbps	234.978 Mbps	203.816 Mbps	-35	60 / 488847	0.012	288.9 Mbps	288.9 Mbps	802.11bgn	802.11n
6	2437	WPA2	4	AUTO	20	1024	TCP	DUT-TX	NA	NA	184.531 Mbps	183.529 Mbps	184.032 Mbps	194.605 Mbps	187.318 Mbps	-43	0 / 404774	0	288.9 Mbps	288.9 Mbps	802.11bgn	802.11n
6	2437	WPA2	4	AUTO	20	1024	TCP	DUT-RX	NA	NA	187.745 Mbps	183.527 Mbps	184.15 Mbps	194.502 Mbps	185.668 Mbps	-43	60 / 362115	0.017	260 Mbps	288.9 Mbps	802.11bgn	802.11n
6	2437	WPA2	4	AUTO	20	MTU	UDP	DUT-TX	NA	NA	328.848 Mbps	249.389 Mbps	250.5 Mbps	257.647 Mbps	250.781 Mbps	-43	0 / 421076	0	288.9 Mbps	288.9 Mbps	802.11bgn	802.11n
6	2437	WPA2	4	AUTO	20	MTU	UDP	DUT-RX	NA	NA	234.382 Mbps	228.19 Mbps	229.303 Mbps	235.846 Mbps	237.639 Mbps	-35	42 / 292954	0.014	288.9 Mbps	288.9 Mbps	802.11bgn	802.11n
6	2437	WPA2	4	AUTO	20	MTU	TCP	DUT-TX	NA	NA	194.329 Mbps	192.161 Mbps	193.156 Mbps	201.728 Mbps	196.279 Mbps	-43	0 / 281933	0	288.9 Mbps	288.9 Mbps	802.11bgn	802.11n
6	2437	WPA2	4	AUTO	20	MTU	TCP	DUT-RX	NA	NA	222.062 Mbps	220.298 Mbps	221.338 Mbps	231.162 Mbps	225.038 Mbps	-42	48 / 337956	0.014	288.9 Mbps	288.9 Mbps	802.11bgn	802.11n
6	2437	WPA2	4	AUTO	20	4000	UDP	DUT-TX	NA	NA	328.767 Mbps	27.221 Mbps	27.365 Mbps	28.237 Mbps	0 bps	-43	0 / 481893	0	288.9 Mbps	288.9 Mbps	802.11bgn	802.11n
6	2437	WPA2	4	AUTO	20	4000	UDP	DUT-RX	NA	NA	189.432 Mbps	0 bps	0 bps	0 bps	0 bps	-35	47 / 287957	0.016	288.9 Mbps	288.9 Mbps	802.11bgn	802.11n
6	2437	WPA2	4	AUTO	20	4000	TCP	DUT-TX	NA	NA	196.866 Mbps	195.858 Mbps	196.737 Mbps	205.547 Mbps	197.991 Mbps	-42	0 / 303703	0	288.9 Mbps	288.9 Mbps	802.11bgn	802.11n
6	2437	WPA2	4	AUTO	20	4000	TCP	DUT-RX	NA	NA	220.567 Mbps	218.291 Mbps	219.229 Mbps	228.935 Mbps	222.956 Mbps	-42	48 / 343381	0.014	288.9 Mbps	288.9 Mbps	802.11bgn	802.11n
