Step Index	Position [Deg]	Attenuation [dB]	Throughput [Mbps]	Beacon RSSI [dBm]	Data RSSI [dBm]
0	NA	0	40.24	-59	-65
1	NA	0	18.79	-60	-60
2	NA	0	170.62	-59	-65
3	NA	0	110.31	-60	-60
4	NA	0	53.72	-61	-68
5	NA	0	79.12	-59	-66
6	NA	0	202.96	-62	-68
7	NA	0	180.99	-61	-60
8	NA	0	100.83	-60	-65
9	NA	0	153.05	-60	-65
10	NA	0	225.92	-60	-65
11	NA	0	230.59	-61	-61
12	NA	0	161.26	-59	-65
13	NA	0	195.15	-60	-65
14	NA	0	261.47	-59	-65
15	NA	0	250.10	-62	-62
16	NA	0	182.73	-61	-67
17	NA	0	210.91	-61	-67
18	NA	0	259.12	-60	-66
19	NA	0	246.63	-61	-61
20	NA	0	187.09	-59	-66
21	NA	0	252.49	-61	-69
22	NA	0	69.04	-60	-65
23	NA	0	3.53	-61	-61
24	NA	0	176.63	-59	-63
25	NA	0	256.54	-59	-64
